2017-11-14 22:49:04 UTC+1  INFO hello
2017-11-14 23:24:08 UTC+1  INFO undefined mode
2017-11-14 23:24:36 UTC+1  INFO development mode
2017-11-14 23:25:09 UTC+1  INFO development mode
2017-11-14 23:27:06 UTC+1  INFO development mode
2017-11-14 23:30:08 UTC+1  INFO development mode
2017-11-14 23:31:07 UTC+1  INFO development mode
2017-11-14 23:32:50 UTC+1  INFO development mode
2017-11-15 00:15:37 UTC+1  INFO development mode
2017-11-15 00:16:23 UTC+1  INFO development mode
2017-11-15 00:16:33 UTC+1  INFO development mode
2017-11-15 00:16:33 UTC+1  INFO server listening to port 8080
2017-11-15 00:17:05 UTC+1  INFO development mode
2017-11-15 00:17:06 UTC+1  INFO server listening to port 8080
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:56 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:57 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:58 UTC+1  INFO development mode
2017-11-15 00:17:59 UTC+1  INFO development mode
2017-11-15 00:17:59 UTC+1  INFO development mode
2017-11-15 00:17:59 UTC+1  INFO development mode
2017-11-15 00:17:59 UTC+1  INFO development mode
2017-11-15 00:17:59 UTC+1  INFO development mode
2017-11-15 00:18:33 UTC+1  INFO development mode
2017-11-15 00:18:33 UTC+1  INFO server listening to port 8080
2017-11-15 00:19:00 UTC+1  INFO development mode
2017-11-15 00:19:00 UTC+1  INFO server listening to port 8080
2017-11-15 00:19:46 UTC+1  INFO development mode
2017-11-15 00:19:47 UTC+1  INFO server listening to port 8080
2017-11-15 00:25:21 UTC+1  INFO development mode
2017-11-15 00:25:22 UTC+1  INFO server listening to port 8080
2017-11-15 00:26:22 UTC+1  INFO development mode
2017-11-15 00:26:23 UTC+1  INFO server listening to port 8080
2017-11-15 00:28:14 UTC+1  INFO development mode
2017-11-15 00:28:14 UTC+1  INFO server listening to port 8080
2017-11-15 00:29:05 UTC+1  INFO development mode
2017-11-15 00:29:06 UTC+1  INFO server listening to port 8080
2017-11-15 00:29:34 UTC+1  INFO development mode
2017-11-15 00:29:35 UTC+1  INFO server listening to port 8080
2017-11-15 00:32:00 UTC+1  INFO development mode
2017-11-15 00:32:00 UTC+1  INFO server listening to port 8080
2017-11-15 00:32:06 UTC+1  INFO development mode
2017-11-15 00:32:06 UTC+1  INFO server listening to port 8080
2017-11-15 00:32:09 UTC+1  INFO development mode
2017-11-15 00:32:10 UTC+1  INFO server listening to port 8080
2017-11-15 00:35:23 UTC+1  INFO development mode
2017-11-15 00:35:23 UTC+1  INFO server listening to port 8080
2017-11-15 00:35:39 UTC+1  INFO development mode
2017-11-15 00:35:39 UTC+1  INFO server listening to port 8080
2017-11-15 00:35:44 UTC+1  INFO development mode
2017-11-15 00:35:45 UTC+1  INFO server listening to port 8080
2017-11-15 00:35:48 UTC+1  INFO development mode
2017-11-15 00:35:49 UTC+1  INFO server listening to port 8080
2017-11-15 00:36:58 UTC+1  INFO development mode
2017-11-15 00:36:59 UTC+1  INFO server listening to port 8080
2017-11-15 00:37:28 UTC+1  INFO development mode
2017-11-15 00:37:29 UTC+1  INFO server listening to port 8080
2017-11-15 00:38:14 UTC+1  INFO development mode
2017-11-15 00:38:15 UTC+1  INFO server listening to port 8080
2017-11-15 00:51:58 UTC+1  INFO development mode
2017-11-15 00:51:59 UTC+1  INFO server listening to port 8080
2017-11-15 00:53:45 UTC+1  INFO development mode
2017-11-15 00:54:25 UTC+1  INFO development mode
2017-11-15 00:54:26 UTC+1  INFO server listening to port 8080
2017-11-15 00:54:44 UTC+1  INFO development mode
2017-11-15 00:54:44 UTC+1  INFO server listening to port 8080
2017-11-15 00:56:30 UTC+1  INFO development mode
2017-11-15 00:57:14 UTC+1  INFO development mode
2017-11-15 00:57:14 UTC+1  INFO server listening to port 8080
2017-11-15 00:57:19 UTC+1  INFO > bEShYcPsd8FkpPlCAAAA connected
2017-11-15 00:57:19 UTC+1 DEBUG > bEShYcPsd8FkpPlCAAAA [object Object]
2017-11-15 00:58:18 UTC+1  INFO development mode
2017-11-15 00:58:19 UTC+1  INFO server listening to port 8080
2017-11-15 00:58:24 UTC+1  INFO > YWmCzEBo0Yz7JhtWAAAA connected
2017-11-15 00:58:24 UTC+1 DEBUG > YWmCzEBo0Yz7JhtWAAAA {"data":"herro"}
2017-11-15 00:58:36 UTC+1  INFO development mode
2017-11-15 00:58:37 UTC+1  INFO server listening to port 8080
2017-11-15 00:58:42 UTC+1  INFO > _ASOoRAESKEYMPw0AAAA connected
